datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2025-02-08 18:18:44,137000,30,W+1.0,704.1987494574836,735.4624426639616
2025-02-08 18:26:35,138000,35,B+1.0,720.1987494574836,688.9350562510056
2025-02-08 18:35:06,139000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 18:42:52,140000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 18:50:51,141000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 18:58:33,142000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 19:06:48,143000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 19:14:40,144000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 19:22:26,145000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 19:30:08,146000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 19:37:50,147000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 19:46:00,148000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 19:53:47,149000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 20:01:33,150000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 20:10:09,151000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 20:17:36,152000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 20:25:18,153000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 20:33:31,154000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 20:41:28,155000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 20:49:27,156000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 20:57:31,157000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 21:05:13,158000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 21:12:55,159000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 21:21:23,160000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 21:29:21,161000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 21:37:21,162000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 21:44:46,163000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 21:53:01,164000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 22:00:48,165000,81,DRAW,720.1987494574836,720.1987494574836
2025-02-08 22:08:04,166000,39,B+1.0,736.1987494574836,704.9350562510056
2025-02-08 22:16:51,167000,81,DRAW,736.1987494574836,736.1987494574836
2025-02-08 22:24:54,168000,81,DRAW,736.1987494574836,736.1987494574836
2025-02-08 22:32:37,169000,81,DRAW,736.1987494574836,736.1987494574836
2025-02-08 22:40:24,170000,81,DRAW,736.1987494574836,736.1987494574836
2025-02-08 22:48:46,171000,81,DRAW,736.1987494574836,736.1987494574836
2025-02-08 22:56:28,172000,81,DRAW,736.1987494574836,736.1987494574836
2025-02-08 23:04:11,173000,81,DRAW,736.1987494574836,736.1987494574836
2025-02-08 23:11:57,174000,38,W+1.0,720.9350562510056,752.1987494574836
2025-02-08 23:19:35,175000,17,B+1.0,736.9350562510056,705.6713630445275
2025-02-08 23:27:49,176000,21,B+1.0,752.9350562510056,721.6713630445275
2025-02-08 23:36:21,177000,81,DRAW,752.9350562510056,752.9350562510056
2025-02-08 23:44:24,178000,81,DRAW,752.9350562510056,752.9350562510056
2025-02-08 23:52:09,179000,81,DRAW,752.9350562510056,752.9350562510056
2025-02-08 23:59:52,180000,81,DRAW,752.9350562510056,752.9350562510056
2025-02-09 00:08:06,181000,81,DRAW,752.9350562510056,752.9350562510056
2025-02-09 00:15:18,182000,23,B+1.0,768.9350562510056,737.6713630445275
2025-02-09 00:23:35,183000,81,DRAW,768.9350562510056,768.9350562510056
2025-02-09 00:30:48,184000,38,W+1.0,753.6713630445275,784.9350562510056
2025-02-09 00:39:05,185000,30,W+1.0,738.4076698380495,769.6713630445275
